06,5,西班牙取消向沙特售400枚制导炸弹合同
06,43,西班牙取消了向沙特出售400枚导弹的协议，理由是战斗中误伤平民
06,16,西班牙社会党新政府计划退换沙特与前保守政府签署的协议支付的920万欧元
06,21,西班牙由于沙特空袭也门伤害平民取消出售激光制导炸弹合同
06,24,由于空袭事件，西班牙取消一项向阿拉伯出售400枚激光制导炸弹的协议
06,29,因军事演习误伤平民西班牙取消与沙特的军事协议并将与沙特签订另一份协议
06,35,因人道主义危机西班牙取消与沙特签订的制导炸弹协议
06,7,沙特领导的武装行动造成平民伤亡，西班牙取消导弹售沙计划
06,50,西班牙语沙特政治关系由于人道主义变紧张
06,19,因违反人道主义西班牙取消向沙特出售制导炸弹
06,41,西班牙国防局表示将取消向沙特阿拉伯出售400枚激光制导炸弹的协议
06,14,因沙特引发人道主义危机西班牙取消向其出售400枚激光制导炸弹
06,47,误炸平民致西班牙取消沙特400枚导弹合同
06,12,西班牙因也门反政府的武装空袭误炸儿童，引起了联合国安理事的调查，取消了2015年向沙特阿拉伯出售导弹的协议，随后伊朗及各国盟友联合向也门发起了干预行动，造成近1万人丧生。
06,39,西班牙取消向沙特阿拉伯出售导弹协议，因沙特打击也门导致平民和儿童伤亡，违反人道主义精神
06,1,因武裝行動違反人道主義，西班牙取消向阿拉伯出售導彈
06,9,西班牙取消了向沙特阿拉伯出售导弹的的协议，原因是沙特政府打击也门反政府时导致平民身亡
06,45,西班牙国防部取消向沙特阿拉伯出售400枚激光制导弹合同
06,10,西班牙取消向沙特出售400枚炸弹因为恐怖袭击
06,27,西班牙国防部取消了2015年签订的一项激光制导炸弹的协议
06,3,西班牙多次向外国出售军事武器，导致战火不断
06,33,因军事冲突引发的人道主义危机，西班牙取消向沙特出售400枚导弹的协议
06,22,鉴于国际舆论压力，西班牙取消向沙特出售制导炸弹协议
06,30,西班牙取消向沙特售400枚制导炸弹的协议
06,8,联合国称之为世界上最严重的人道主义危机。
06,46,西班牙取消之前承诺的向沙特出售的400枚制导炸弹合同
06,13,西班牙国防部取消向沙特出售激光制导弹的协议
06,38,西班牙宣布取消像沙特阿拉伯出售导弹的协议，在此之前沙特对也门发动的空袭导致多民平民死亡
06,32,因沙特空袭致多名平民死亡，西班牙取消向沙特出售制导炸弹的协议
06,23,西班牙国防部取消签订向沙特出售导弹协议
06,44,沙特空袭误炸儿童引起强烈反对，西班牙取消出售炸弹协议
06,11,因为大量平民的丧生西班牙取消向沙特售出400枚制导炸弹合同
06,26,西班牙取消向阿拉伯出售导弹协议
06,37,西班牙取消向沙特出售400枚制导炸弹合同
06,2,西班牙取消向沙特阿拉伯出售炸弹的协议
